Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,System Status,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Closed Date,Closed Date (bins)
2900000850,9652G520-0100000P,,26-Dec-24,26-Dec-24,,,1,0,1-Jan-25,TECO,December 2024,1/1/2025 0:00,12/29/2024
2600001106,69563834-0001TS1P,,12-Dec-24,12-Dec-24,,,1,0,1-Jan-25,TECO,December 2024,1/1/2025 0:00,12/29/2024
2900000842,9001G144-2530000P,,11-Dec-24,11-Dec-24,,,1,0,1-Jan-25,TECO,December 2024,1/1/2025 0:00,12/29/2024
2900000844,6991G47-0045RC1P,,11-Dec-24,11-Dec-24,,,1,0,1-Jan-25,TECO,December 2024,1/1/2025 0:00,12/29/2024
2600001075,9001G144-2530000P,,21-Nov-24,21-Nov-24,,,1,0,1-Jan-25,TECO,November 2024,1/1/2025 0:00,12/29/2024
2600001062,6911G144-2045TS3P,,5-Nov-24,5-Nov-24,,,1,0,1-Jan-25,TECO,November 2024,1/1/2025 0:00,12/29/2024
2600001063,6911G144-2045TS2P,,5-Nov-24,5-Nov-24,,,1,0,1-Jan-25,TECO,November 2024,1/1/2025 0:00,12/29/2024
2600001058,69925210-0001TS6P,,25-Oct-24,25-Oct-24,,,1,0,1-Jan-25,TECO,October 2024,1/1/2025 0:00,12/29/2024
2600001057,69925210-0001TS6P,,24-Oct-24,24-Oct-24,,,1,0,1-Jan-25,TECO,October 2024,1/1/2025 0:00,12/29/2024
2900000820,94063960-H310TS2P,,22-Oct-24,22-Oct-24,,,1,0,1-Jan-25,TECO,October 2024,1/1/2025 0:00,12/29/2024
2600001048,6992G548-0201TS3P,,3-Oct-24,3-Oct-24,,,1,0,1-Jan-25,TECO,October 2024,1/1/2025 0:00,12/29/2024
2600001046,69914028-0000100P,,20-Sep-24,20-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001045,69915102-0000TS1P,,19-Sep-24,19-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000806,6992G525-0220TS4P,,18-Sep-24,18-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001043,69925859-0311TS1P,,17-Sep-24,17-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000804,9652G520-A500000P,,17-Sep-24,17-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000805,9652G520-0940000P,,17-Sep-24,17-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000800,9652G520-0300000P,,12-Sep-24,12-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000801,9002G530-0300000P,,12-Sep-24,12-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001040,6991G146-0070TS1P,,10-Sep-24,10-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001041,6991G147-0070TS1P,,10-Sep-24,10-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001038,69913932-0101TS1P,,9-Sep-24,9-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001036,6992G525-0220TS4P,,6-Sep-24,6-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001037,6992G525-0220TS4P,,6-Sep-24,6-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001035,6912G525-0200TS4P,,5-Sep-24,5-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001030,69913931-0001TS1P,,4-Sep-24,4-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2600001034,6922G520-0200000P,,4-Sep-24,4-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000797,9002G530-0300000P,,4-Sep-24,4-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000798,9002G530-0060000P,,4-Sep-24,4-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000795,9652G520-0000000P,,3-Sep-24,3-Sep-24,,,1,0,1-Jan-25,TECO,September 2024,1/1/2025 0:00,12/29/2024
2900000794,6922G520-0280001P,,21-Aug-24,21-Aug-24,,,1,0,1-Jan-25,TECO,August 2024,1/1/2025 0:00,12/29/2024
